"","","","",[]
"","","","",[]
高鷲SS / 高鷲燃料,"",岐阜県郡上市高鷲町大鷲872-1,05757-2-5202,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
"","","","",[]
セルフ可児坂戸SS / 山本石油(株),"",岐阜県可児市坂戸186,0574611311,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:セルフサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥173   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
牛道SS / 中谷石油店,"",岐阜県郡上市白鳥町中西475-11,05758-4-1066,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
川北SS / 川北石油(株),"",岐阜県岐阜市鷺山1530-2,0582-31-1161,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
プリテール関SS / 出光リテール販売(株),"",岐阜県関市山田1089-1,0575282220,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:セルフサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥161   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
白鳥南SS / 中部石油(株),"",岐阜県郡上市白鳥町為真142-1,05758-2-2550,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
蛭ケ野SS / (株)蛭ケ野商事,"",岐阜県郡上市高鷲町ひるがの4670-931,0575732211,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
県庁西SS / 篠田商事(株),"",岐阜県岐阜市下奈良2-1-1,0582750525,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""営業時間:24時間営業"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
セルフ東興SS / 丸栄石油(株),"",岐阜県岐阜市東興町50,058-249-5580,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""営業時間:24時間営業"", ""サービスタイプ:セルフサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
殿SS / 牛丸石油(株),"",岐阜県飛騨市神岡町殿1289-9,0578-82-2272,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
桐生SS / 牛丸石油(株),"",岐阜県高山市桐生町6-90,0577-32-2219,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥166   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
プリテール長良川SS / 岐西興産(株),"",岐阜県岐阜市長良古津2-7,0582972714,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:セルフサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥159   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
セルフ愛岐SS / 山本石油(株),"",岐阜県多治見市平和町4-58,0572228996,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:セルフサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥1854\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥166   \r\n\t\t\t\t\tハイオク¥177   \r\n\t\t\t\t\t軽油¥145   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
坂本SS / (有)竹内商店,"",岐阜県中津川市茄子川626-33,05736-8-2053,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
黒野SS / 白木石油(有),"",岐阜県岐阜市黒野555-1,0582390521,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥158   \r\n\t\t\t\t\tハイオク¥169   \r\n\t\t\t\t\t軽油¥135   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
セルフさぎやまSS / 岐西興産(株),"",岐阜県岐阜市正木北町7-35,0582311170,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:セルフサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
入舟SS / 丸栄石油(株),"",岐阜県岐阜市入舟町4-27,0582468190,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥171   \r\n\t\t\t\t\tハイオク¥182   \r\n\t\t\t\t\t軽油¥148   \r\n\t\t\t\t\t灯油¥1944\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥165   \r\n\t\t\t\t\tハイオク¥176   \r\n\t\t\t\t\t軽油¥141   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
